cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj,valor,instituicao,ente_uf,cores,MicroRegion
2304103,Crateús,0,NE,CE,M,2020,75074,07982036000167,3375205.65,Câmara de Vereadores de Crateús - CE,Crateús-CE,blue,23018
2304202,Crato,0,NE,CE,M,2020,132123,07587975000107,5488681.45,Câmara de Vereadores de Crato - CE,Crato-CE,blue,23032
2304236,Croatá,0,NE,CE,M,2020,18063,10462349000107,1311837.35,Câmara de Vereadores de Croatá - CE,Croatá-CE,blue,23002
2304251,Cruz,0,NE,CE,M,2020,24827,07663917000115,1446015.56,Câmara de Vereadores de Cruz - CE,Cruz-CE,blue,23001
2304269,Deputado Irapuan Pinheiro,0,NE,CE,M,2020,9625,12464103000191,804007.63,Câmara de Vereadores de Deputado Irapuan Pinheiro - CE,Deputado Irapuan Pinheiro-CE,red,23021
2304277,Ererê,0,NE,CE,M,2020,7198,12465068000125,778196.22,Câmara de Vereadores de Ererê - CE,Ererê-CE,red,23025
2304285,Eusébio,0,NE,CE,M,2020,53618,23563067000130,9016095.29,Câmara de Vereadores de Eusébio - CE,Eusébio-CE,blue,23016
2304301,Farias Brito,0,NE,CE,M,2020,19450,07595572000100,1378995.25,Câmara de Vereadores de Farias Brito - CE,Farias Brito-CE,blue,23030
2304350,Forquilha,0,NE,CE,M,2020,24218,07673106000103,1315709.38,Câmara de Vereadores de Forquilha - CE,Forquilha-CE,blue,23005
2304400,Fortaleza,1,NE,CE,M,2020,2669342,07954605000160,119620440.96,Câmara de Vereadores de Fortaleza - CE,Fortaleza-CE,blue,23016
2304459,Fortim,0,NE,CE,M,2020,16480,35050756000120,1320891.55,Câmara de Vereadores de Fortim - CE,Fortim-CE,blue,23022
2304509,Frecheirinha,0,NE,CE,M,2020,14072,07598592000134,1107072.93,Câmara de Vereadores de Frecheirinha - CE,Frecheirinha-CE,blue,23003
2304608,General Sampaio,0,NE,CE,M,2020,7618,07438591000122,711607.75,Câmara de Vereadores de General Sampaio - CE,General Sampaio-CE,red,23011
2304657,Graça,0,NE,CE,M,2020,14399,23467889000117,891804.5,Câmara de Vereadores de Graça - CE,Graça-CE,blue,23005
2304707,Granja,0,NE,CE,M,2020,54748,07827165000180,2540771.16,Câmara de Vereadores de Granja - CE,Granja-CE,blue,23001
2304806,Granjeiro,0,NE,CE,M,2020,4844,41342098000142,593920.48,Câmara de Vereadores de Granjeiro - CE,Granjeiro-CE,red,23030
2304905,Groaíras,0,NE,CE,M,2020,11068,07598709000180,906697.13,Câmara de Vereadores de Groaíras - CE,Groaíras-CE,blue,23005
