instituicao,cod_ibge,uf,populacao,demais,adm,legis,total
Prefeitura Municipal de Mallet - PR,4113908,PR,13595,35625709.199999996,5837660.49,1991000,43454369.69
Prefeitura Municipal de Malta - PB,2508802,PB,5766,19111886,3928694,830148,23870728
Prefeitura Municipal de Mamanguape - PB,2508901,PB,44657,82574398.67,12565601.33,3360000,98500000
Prefeitura Municipal de Mamborê - PR,4114005,PR,13252,48775027.68,11727303.61,2304720,62807051.29
Prefeitura Municipal de Mamonas - MG,3139250,MG,6532,21003493.009999998,2656506.99,1152000,24812000
Prefeitura Municipal de Mampituba - RS,4311734,RS,2990,17795069.67,2441452.4699999997,696307,20932829.14
Prefeitura Municipal de Manacapuru - AM,1302504,AM,96236,180020991.56,19769784.84,5531140.32,205321916.72
Prefeitura Municipal de Manaíra - PB,2509008,PB,11092,33194391,2604517,1354530,37153438
Prefeitura Municipal de Manaquiri - AM,1302553,AM,31147,49216892.269999996,5782058.78,2090000,57088951.05
Prefeitura Municipal de Manari - PE,2609154,PE,21085,50494000,7186000,1820000,59500000
Prefeitura Municipal de Manaus - AM,1302603,AM,2145444,5035380519.96,728096368.26,160270715.39,5923747603.610001
Prefeitura Municipal de Mâncio Lima - AC,1200336,AC,18638,42550248.870000005,5071546.27,1380000,49001795.14
Prefeitura Municipal de Mandaguaçu - PR,4114104,PR,22531,68613622.94,15494829.34,2197910,86306362.28
Prefeitura Municipal de Mandaguari - PR,4114203,PR,34281,94625730.75,16682338.88,3116406,114424475.63
Prefeitura Municipal de Mandirituba - PR,4114302,PR,26411,64224334.9,6744339.15,0,70968674.05
Prefeitura Municipal de Manduri - SP,3528601,SP,9780,25788478.22,2230251.33,1100000,29118729.549999997
Prefeitura Municipal de Manfrinópolis - PR,4114351,PR,2639,18463774.27,2362480,972000,21798254.27
Prefeitura Municipal de Manga - MG,3139300,MG,18594,55123089.2,5481636,2243900,62848625.2
Prefeitura Municipal de Mangaratiba - RJ,3302601,RJ,43689,267981891.4,99262658.6,15000000,382244550
Prefeitura Municipal de Mangueirinha - PR,4114401,PR,16787,116224995.67999999,12170312.14,0,128395307.82
Prefeitura Municipal de Manhuaçu - MG,3139409,MG,89256,215867063.41,13135083.44,9200000,238202146.85
Prefeitura Municipal de Manicoré - AM,1302702,AM,54907,72225043.95,9354990.49,3686429.1999999997,85266463.64
Prefeitura Municipal de Manoel Ribas - PR,4114500,PR,13494,43447779.69,6777861.89,0,50225641.58
Prefeitura Municipal de Manoel Urbano - AC,1200344,AC,9336,40549355.78,3060516.77,1584250,45194122.550000004
Prefeitura Municipal de Manoel Viana - RS,4311759,RS,7291,17187316.79,7483603,1318037.72,25988957.509999998
Prefeitura Municipal de Manoel Vitorino - BA,2920403,BA,13397,11284000,29857272.5,1800000,42941272.5
Prefeitura Municipal de Mansidão - BA,2920452,BA,13546,36802350,5497650,1500000,43800000
Prefeitura Municipal de Mantena - MG,3139607,MG,27640,97538275.68,17063924.32,2700000,117302200
Prefeitura Municipal de Mantenópolis - ES,3203304,ES,15194,38970295.559999995,4958561.25,1706899.81,45635756.62
Prefeitura Municipal de Maquiné - RS,4311775,RS,6749,18794773.15,6069876,1200000,26064649.15
Prefeitura Municipal de Mar de Espanha - MG,3139805,MG,12725,24737782.14,3031310.41,1400000,29169092.55
Prefeitura Municipal de Mara Rosa - GO,5212808,GO,9646,39168173.18,5970806.5,1791917.3,46930896.98
Prefeitura Municipal de Marabá - PA,1504208,PA,275086,890569828.1400001,49918924.06,23639450,964128202.2
Prefeitura Municipal de Marabá Paulista - SP,3528700,SP,5757,16334971.440000001,5179385.7,1620000,23134357.14
Prefeitura Municipal de Maracaçumé - MA,2106326,MA,21201,36309048.48,8220246.81,1062653.08,45591948.37
Prefeitura Municipal de Maracaí - SP,3528809,SP,13967,99331938.72,13207578,3340000,115879516.72
Prefeitura Municipal de Maracajá - SC,4210407,SC,7207,24139494.720000003,3031685.67,1188008.64,28359189.03
Prefeitura Municipal de Maracaju - MS,5005400,MS,45932,158928742.78,26456835.72,7293650,192679228.5
Prefeitura Municipal de Maracanaú - CE,2307650,CE,226128,780924939.16,68008700,23460000,872393639.16
Prefeitura Municipal de Maracás - BA,2920502,BA,21295,59744660.05,4367144.23,2364000,66475804.28
Prefeitura Municipal de Maragogi - AL,2704500,AL,32369,73348925.16,18184513.04,3130976.75,94664414.94999999
Prefeitura Municipal de Maragogipe - BA,2920601,BA,44555,86850400,7229600,3800000,97880000
Prefeitura Municipal de Marajá do Sena - MA,2106359,MA,7810,26469932.049999997,3203429.76,915500,30588861.809999995
Prefeitura Municipal de Maranguape - CE,2307700,CE,127098,188308000,29286000,5500000,223094000
Prefeitura Municipal de Maranhãozinho - MA,2106375,MA,16013,93283153.23,21076914.66,3090300.48,117450368.37
Prefeitura Municipal de Marapoama - SP,3528858,SP,2996,14682170.29,3789200,767000,19238370.29
Prefeitura Municipal de Maratá - RS,4311791,RS,2680,18699101.85,5368887,681000,24748988.85
Prefeitura Municipal de Marataízes - ES,3203320,ES,38108,272689715.49,47098722.02,5169575.51,324958013.02
Prefeitura Municipal de Maraú - BA,2920700,BA,20518,47448263.8,13751736.2,2600000,63800000
Prefeitura Municipal de Marau - RS,4311809,RS,43435,125672194.52000001,24430315.54,2720000,152822510.06
Prefeitura Municipal de Maravilha - AL,2704609,AL,9326,47418091.37,4843317.58,945714.81,53207123.76
Prefeitura Municipal de Maravilha - SC,4210506,SC,25403,92367131.41,5217856.25,3365264,100950251.66
Prefeitura Municipal de Maravilhas - MG,3139706,MG,7904,20889847.93,2232290.29,890000,24012138.22
Prefeitura Municipal de Marcação - PB,2509057,PB,8460,20827169,2688865,954793,24470827
Prefeitura Municipal de Marcelândia - MT,5105580,MT,10700,37370888.68,4396411.32,1390000,43157300
Prefeitura Municipal de Marcelino Ramos - RS,4311908,RS,4488,16924452.21,4109584.88,542132.77,21576169.86
Prefeitura Municipal de Marcelino Vieira - RN,2407302,RN,8358,29044096.57,2638596.5,915000,32597693.07
Prefeitura Municipal de Marcionílio Souza - BA,2920809,BA,10434,33924760,8070720,4027600,46023080
Prefeitura Municipal de Marco - CE,2307809,CE,27127,72117059.37,8563700.85,2081088,82761848.22
Prefeitura Municipal de Marcolândia - PI,2205953,PI,8439,36037210.61000001,2598720.03,603253.2,39239183.84000001
Prefeitura Municipal de Marcos Parente - PI,2206001,PI,4550,12879943.3,2332236.7,657612,15869792
Prefeitura Municipal de Marechal Cândido Rondon - PR,4114609,PR,52379,228339952.67000002,29671993.89,8094000,266105946.56
Prefeitura Municipal de Marechal Deodoro - AL,2704708,AL,51364,204482762.52,37599539.32,8670415.94,250752717.78
Prefeitura Municipal de Marechal Floriano - ES,3203346,ES,16464,50251937.019999996,14805568.48,3000000,68057505.5
Prefeitura Municipal de Marechal Thaumaturgo - AC,1200351,AC,18430,55919434.34,8023928.11,2354160,66297522.45
Prefeitura Municipal de Marema - SC,4210555,SC,1846,15390724.39,5171600,977000,21539324.39
Prefeitura Municipal de Mari - PB,2509107,PB,21808,48002713,12003880,1985950,61992543
Prefeitura Municipal de Maria da Fé - MG,3139904,MG,14136,32396000,2684000,1320000,36400000
Prefeitura Municipal de Maria Helena - PR,4114708,PR,5720,22410230.82,3776699.62,1070000,27256930.44
Prefeitura Municipal de Marialva - PR,4114807,PR,35180,183925476.11,21234756.6,0,205160232.71
Prefeitura Municipal de Mariana - MG,3140001,MG,60142,264921497.78000003,31860440.43,11082533.64,307864471.85
Prefeitura Municipal de Mariana Pimentel - RS,4311981,RS,3881,11847367.870000001,6259482.7,791241.96,18898092.53
Prefeitura Municipal de Mariano Moro - RS,4312005,RS,2054,13666006.14,2945746.55,494300,17106052.69
Prefeitura Municipal de Marianópolis do Tocantins - TO,1712504,TO,5094,17946662.07,2009587.93,850000,20806250
Prefeitura Municipal de Mariápolis - SP,3528908,SP,4077,16048222,2259250,768000,19075472
Prefeitura Municipal de Maribondo - AL,2704807,AL,13337,42436238.79,6811533.83,1330425.38,50578198
Prefeitura Municipal de Maricá - RJ,3302700,RJ,157789,2002700220.1999998,523607242.4,24863911.6,2551171374.2
Prefeitura Municipal de Marilândia - ES,3203353,ES,12700,35247495.54,6006040.96,1776400,43029936.5
Prefeitura Municipal de Marilândia do Sul - PR,4114906,PR,8858,30691217.880000003,6277568.89,0,36968786.77
Prefeitura Municipal de Marilena - PR,4115002,PR,7067,29062029.53,6322676.85,1000000,36384706.38
Prefeitura Municipal de Marília - SP,3529005,SP,237130,899772325.05,130331062.9,17498915.560000002,1047602303.51
Prefeitura Municipal de Mariluz - PR,4115101,PR,10354,41332517.06,6871300,1425000,49628817.06
Prefeitura Municipal de Maringá - PR,4115200,PR,417010,1671321663.3899999,152852995.12,24783193,1848957851.5099998
Prefeitura Municipal de Marinópolis - SP,3529104,SP,2117,11774040.72,2230770,738000,14742810.72
Prefeitura Municipal de Mário Campos - MG,3140159,MG,15207,29245823.020000003,6207944.93,1688000,37141767.95
Prefeitura Municipal de Mariópolis - PR,4115309,PR,6586,36491283.18,4977636.72,1310100,42779019.9
Prefeitura Municipal de Maripá - PR,4115358,PR,5624,30253322.000000004,6575473.7,1974000,38802795.7
Prefeitura Municipal de Maripá de Minas - MG,3140209,MG,2959,14452557.280000001,1683117.48,744000,16879674.76
Prefeitura Municipal de Marituba - PA,1504422,PA,129321,274270613.64,26778912.19,7395000,308444525.83
Prefeitura Municipal de Marizópolis - PB,2509156,PB,6565,26991255,4185324,867100,32043679
Prefeitura Municipal de Marliéria - MG,3140308,MG,4044,23432021.33,6156313.08,1090650,30678984.409999996
Prefeitura Municipal de Marmeleiro - PR,4115408,PR,14346,57613523.67,4759454.79,0,62372978.46
Prefeitura Municipal de Marmelópolis - MG,3140407,MG,2784,11004608.52,1684175,612000,13300783.52
Prefeitura Municipal de Marques de Souza - RS,4312054,RS,4024,19208123.74,2442225,683000,22333348.74
Prefeitura Municipal de Marquinho - PR,4115457,PR,4472,28214983.06,3305000,1200000,32719983.06
Prefeitura Municipal de Martinho Campos - MG,3140506,MG,13330,38063393.75,5711504.82,1401900,45176798.57
Prefeitura Municipal de Martinópole - CE,2307908,CE,11143,27878444.82,4375555.18,1446000,33700000
Prefeitura Municipal de Martinópolis - SP,3529203,SP,26289,209213253,24696747,5040000,238950000
Prefeitura Municipal de Martins - RN,2407401,RN,8692,19178137.38,3191862.62,930000,23300000
Prefeitura Municipal de Martins Soares - MG,3140530,MG,8299,18195954.56,3423629.96,1157000,22776584.52
Prefeitura Municipal de Maruim - SE,2804003,SE,17153,46014293.31,11686706.69,2299000,60000000
Prefeitura Municipal de Marumbi - PR,4115507,PR,4681,18298346.85,4846420.86,900000,24044767.71
Prefeitura Municipal de Marzagão - GO,5212907,GO,2223,16059391.830000002,2651812.12,1121386.72,19832590.67
Prefeitura Municipal de Mascote - BA,2920908,BA,13931,35544138.45,4431161.55,1700000,41675300
Prefeitura Municipal de Massapê - CE,2308005,CE,38424,70814737.85,11055262.15,3130000,85000000
Prefeitura Municipal de Massapê do Piauí - PI,2206050,PI,6434,15784150,2365850,650000,18800000
Prefeitura Municipal de Massaranduba - PB,2509206,PB,13742,27088431.68,2628726.46,1211177,30928335.14
Prefeitura Municipal de Massaranduba - SC,4210605,SC,16704,63021661.41,5095465.81,2220000,70337127.22
Prefeitura Municipal de Mata - RS,4312104,RS,4864,13032804.360000001,4146765.8,886994.73,18066564.89
Prefeitura Municipal de Mata de São João - BA,2921005,BA,46014,187003890.25,29338186.82,9700000,226042077.07
Prefeitura Municipal de Mata Grande - AL,2705002,AL,25226,74963926.55000001,19917765.46,2110015.39,96991707.40000002
Prefeitura Municipal de Mata Roma - MA,2106409,MA,16679,73531670,7092250,1100000,81723920
Prefeitura Municipal de Mata Verde - MG,3140555,MG,8526,22449484.990000002,2666515.01,900000,26016000
Prefeitura Municipal de Matão - SP,3529302,SP,82702,219217370.75,31687318.62,7320000,258224689.37
Prefeitura Municipal de Mataraca - PB,2509305,PB,8327,29785774.1,8208906.9,1680320,39675001
Prefeitura Municipal de Mateiros - TO,1712702,TO,2638,15524727.129999999,3860392.87,1000000,20385120
Prefeitura Municipal de Matelândia - PR,4115606,PR,17775,69952665,13123437.67,0,83076102.67
Prefeitura Municipal de Materlândia - MG,3140605,MG,4482,19316319.39,1845680.61,890000,22052000
Prefeitura Municipal de Mateus Leme - MG,3140704,MG,30798,57352060.72,15728515.64,2702100,75782676.36
Prefeitura Municipal de Mathias Lobato - MG,3171501,MG,3227,14993357.260000002,3811903.04,756000,19561260.3
Prefeitura Municipal de Matias Barbosa - MG,3140803,MG,14385,41889896.56,5188812.85,2786095.6,49864805.010000005
Prefeitura Municipal de Matias Cardoso - MG,3140852,MG,11050,25689746.439999998,4119073.8,1562400,31371220.24
Prefeitura Municipal de Matias Olímpio - PI,2206100,PI,10913,21931617.5,7212382.5,1113500,30257500
Prefeitura Municipal de Matina - BA,2921054,BA,12116,52875399,3328058,1398649,57602106
Prefeitura Municipal de Matinha - MA,2106508,MA,23256,49034857,7125143,1340000,57500000
Prefeitura Municipal de Matinhas - PB,2509339,PB,4516,10912486,4705133,746304,16363923
Prefeitura Municipal de Matinhos - PR,4115705,PR,34207,150918424.77,10955060.04,5766382.88,167639867.69
Prefeitura Municipal de Matipó - MG,3140902,MG,18808,42064848.15,3046475,2609760,47721083.15
Prefeitura Municipal de Mato Castelhano - RS,4312138,RS,2538,14986937.139999999,2414504.24,810000,18211441.38
Prefeitura Municipal de Mato Grosso - PB,2509370,PB,2889,15519311.8,1711928.2,768760,18000000
Prefeitura Municipal de Mato Leitão - RS,4312153,RS,4456,25422940.160000004,4610489.6,584000,30617429.760000005
Prefeitura Municipal de Mato Queimado - RS,4312179,RS,1665,12299897.57,2535092.35,811000,15645989.92
Prefeitura Municipal de Mato Rico - PR,4115739,PR,3340,19033265.36,3033249.03,1131350,23197864.39
Prefeitura Municipal de Mato Verde - MG,3141009,MG,12508,43292970,2261030,1668000,47222000
Prefeitura Municipal de Matões - MA,2106607,MA,33615,116171527.35,11698323.27,1690192.02,129560042.63999999
Prefeitura Municipal de Matões do Norte - MA,2106631,MA,16451,56795800,3933200,1200000,61929000
Prefeitura Municipal de Matos Costa - SC,4210704,SC,2560,15172174.86,2207254,756000,18135428.86
Prefeitura Municipal de Matozinhos - MG,3141108,MG,37473,80003690.91,9745716.98,4350000,94099407.89
Prefeitura Municipal de Matrinchã - GO,5212956,GO,4366,27035826.33,4782540.37,1347000,33165366.7
Prefeitura Municipal de Matriz de Camaragibe - AL,2705101,AL,24649,0,84481080.07,0,84481080.07
Prefeitura Municipal de Matupá - MT,5105606,MT,16334,67203161.32000001,12159896.99,1800000,81163058.31
Prefeitura Municipal de Maturéia - PB,2509396,PB,6506,23017512.07,3542974.93,945975,27506462
Prefeitura Municipal de Matutina - MG,3141207,MG,3758,14695925,1789450,1058000,17543375
Prefeitura Municipal de Mauá - SP,3529401,SP,468148,1078127780.91,181410690.47,34108000,1293646471.38
Prefeitura Municipal de Mauá da Serra - PR,4115754,PR,10397,32900275.269999996,4686438.64,1730000,39316713.91
Prefeitura Municipal de Maués - AM,1302900,AM,62755,141557570.03,16090075.73,4135000,161782645.76
Prefeitura Municipal de Maurilândia - GO,5213004,GO,13829,36516185.019999996,5395550.8,3125637.25,45037373.06999999
Prefeitura Municipal de Maurilândia do Tocantins - TO,1712801,TO,3403,14976771.55,3343457.54,990000,19310229.09
Prefeitura Municipal de Mauriti - CE,2308104,CE,46854,94273717.55,12543343.41,3054000,109871060.96
Prefeitura Municipal de Maxaranguape - RN,2407500,RN,12194,34492016.4,6201238.6,1633880,42327135
Prefeitura Municipal de Maximiliano de Almeida - RS,4312203,RS,4443,14866968.000000002,4189134.19,600000,19656102.19
Prefeitura Municipal de Medeiros - MG,3141306,MG,3771,22576751.880000003,2796513.31,1115000,26488265.19
Prefeitura Municipal de Medeiros Neto - BA,2921104,BA,22659,40946770,16133230,2320000,59400000
Prefeitura Municipal de Medianeira - PR,4115804,PR,45812,176412555.8,30725516.23,4080000,211218072.03
Prefeitura Municipal de Medicilândia - PA,1504455,PA,31213,79644034,8888854,2780123,91313011
Prefeitura Municipal de Medina - MG,3141405,MG,20882,49567064.99,3470247.15,2100000,55137312.14
Prefeitura Municipal de Meleiro - SC,4210803,SC,7028,32263358.060000002,3172500,1270000,36705858.06
Prefeitura Municipal de Melgaço - PA,1504505,PA,27415,70171438.93,8506711.5,1919000,80597150.43
Prefeitura Municipal de Mendes - RJ,3302809,RJ,18578,82298006.34,12127148.19,2750294.6,97175449.13
Prefeitura Municipal de Mendes Pimentel - MG,3141504,MG,6446,15644703.52,5445296.48,910000,22000000
Prefeitura Municipal de Mendonça - SP,3529500,SP,5413,26226043.51,3590942.68,1200000,31016986.19
Prefeitura Municipal de Mercedes - PR,4115853,PR,5493,31145030.790000003,4179979.8,1515031,36840041.59
Prefeitura Municipal de Mercês - MG,3141603,MG,10720,30793330,2354372,1257800,34405502
Prefeitura Municipal de Meridiano - SP,3529609,SP,3848,25522600.21,3375683.8,980000,29878284.01
Prefeitura Municipal de Meruoca - CE,2308203,CE,15030,44099578.67,3745926.8,1718726.53,49564232
Prefeitura Municipal de Mesópolis - SP,3529658,SP,1910,14751418.59,2492800,770000,18014218.59
Prefeitura Municipal de Mesquita - MG,3141702,MG,5666,16200848.25,3165151.75,1100000,20466000
Prefeitura Municipal de Mesquita - RJ,3302858,RJ,175620,263631534,50764200,4724266,319120000
Prefeitura Municipal de Messias - AL,2705200,AL,17676,53291292.230000004,11863628.67,2434842.08,67589762.98
Prefeitura Municipal de Messias Targino - RN,2407609,RN,4568,17274990.75,2420657.85,904352,20600000.6
Prefeitura Municipal de Miguel Alves - PI,2206209,PI,33684,86211123.41,14182362.6,1831203.99,102224689.99999999
Prefeitura Municipal de Miguel Calmon - BA,2921203,BA,26159,47199722.980000004,8045806.01,2110500,57356028.99
Prefeitura Municipal de Miguel Leão - PI,2206308,PI,1250,7230779.76,4202181.7,659625.22,12092586.680000002
Prefeitura Municipal de Miguel Pereira - RJ,3302908,RJ,25493,120949543.19999999,28481238.6,4292442.899999999,153723224.7
Prefeitura Municipal de Miguelópolis - SP,3529708,SP,22093,96119582.61,9138934.040000001,3950000,109208516.65
Prefeitura Municipal de Milagres - BA,2921302,BA,11009,27695837.31,7399026.55,1268340,36363203.86
Prefeitura Municipal de Milagres - CE,2308302,CE,28466,61902727.61000001,8021948.4,1820000,71744676.01
Prefeitura Municipal de Milagres do Maranhão - MA,2106672,MA,8445,27128601.330000002,5473667.81,674000,33276269.14
Prefeitura Municipal de Milhã - CE,2308351,CE,13241,34571647.07,5183152.93,1584000,41338800
Prefeitura Municipal de Milton Brandão - PI,2206357,PI,6617,24657426.19,3072073.81,707500,28437000
Prefeitura Municipal de Mimoso de Goiás - GO,5213053,GO,2612,19115940.17,2613577.79,1049393.54,22778911.5
Prefeitura Municipal de Minaçu - GO,5213087,GO,29353,112311877.75,16239446,5550000,134101323.75
Prefeitura Municipal de Minador do Negrão - AL,2705309,AL,5337,42897604.160000004,6383088.07,1023360.36,50304052.59
Prefeitura Municipal de Minas do Leão - RS,4312252,RS,8045,26010145.5,4788573.41,1286000,32084718.91
Prefeitura Municipal de Minas Novas - MG,3141801,MG,31471,60950372.25,2894290.94,2354256.54,66198919.73
Prefeitura Municipal de Minduri - MG,3141900,MG,3896,15088038.02,2435392.98,812000,18335431
Prefeitura Municipal de Mineiros - GO,5213103,GO,65420,380030819.21000004,76154538.2,10989515.83,467174873.24
Prefeitura Municipal de Mineiros do Tietê - SP,3529807,SP,12849,30328255.15,3760048.86,1251000,35339304.01
Prefeitura Municipal de Ministro Andreazza - RO,1101203,RO,9762,20273645.75,8290919.47,1072106.78,29636672
Prefeitura Municipal de Mira Estrela - SP,3530003,SP,3066,20115584.75,3656840,910000,24682424.75
Prefeitura Municipal de Mirabela - MG,3142007,MG,13557,34896804.57,5299853.43,1538000,41734658
Prefeitura Municipal de Miracatu - SP,3529906,SP,19919,62607360.74,4474197.85,2880000,69961558.59
Prefeitura Municipal de Miracema - RJ,3303005,RJ,27195,87640546.03,16680474.7,3526000,107847020.73
Prefeitura Municipal de Miracema do Tocantins - TO,1713205,TO,18566,55903202.14,13369810.34,3380000,72653012.48
Prefeitura Municipal de Mirador - MA,2106706,MA,21000,68948655.39999999,7435909.95,2022000,78406565.35
Prefeitura Municipal de Mirador - PR,4115903,PR,2231,14972318.370000001,2986743.27,1056216.7,19015278.34
Prefeitura Municipal de Miradouro - MG,3142106,MG,10721,34698564.46,4061000,1250000,40009564.46
Prefeitura Municipal de Miraguaí - RS,4312302,RS,4824,15820361.2,3978525,915000,20713886.2
Prefeitura Municipal de Miraí - MG,3142205,MG,14913,33060442.03,2285137.42,1669500,37015079.45
Prefeitura Municipal de Miraíma - CE,2308377,CE,13669,28584989.57,2574170.43,1056000,32215160
Prefeitura Municipal de Miranda - MS,5005608,MS,27795,51873643.5,13466433.9,3059922.6,68400000
Prefeitura Municipal de Mirandiba - PE,2609303,PE,15308,38181295,6912705,1730000,46824000
Prefeitura Municipal de Mirandópolis - SP,3530102,SP,29418,76532920,14679930,1848000,93060850
Prefeitura Municipal de Mirangaba - BA,2921401,BA,18195,39236563.63,5387419.55,1904000,46527983.18
Prefeitura Municipal de Miranorte - TO,1713304,TO,13375,34449485.69,2680951.46,1500000,38630437.15
Prefeitura Municipal de Mirante - BA,2921450,BA,8844,18466379.630000003,5019927.2,1075716.93,24562023.76
Prefeitura Municipal de Mirante da Serra - RO,1101302,RO,11080,44628835.28,4406466.77,1108784.13,50144086.18
Prefeitura Municipal de Mirante do Paranapanema - SP,3530201,SP,18178,59929345.32,3063643.82,1560000,64552989.14
Prefeitura Municipal de Miraselva - PR,4116000,PR,1816,11918300.829999998,5025935.12,637100,17581335.95
Prefeitura Municipal de Mirassol - SP,3530300,SP,59333,138157467.75,35896480,4175000,178228947.75
Prefeitura Municipal de Mirassol d'Oeste - MT,5105622,MT,27536,56897512.98,13656291.68,2550000,73103804.66
Prefeitura Municipal de Mirassolândia - SP,3530409,SP,4822,14152701.32,2548000,600000,17300701.32
Prefeitura Municipal de Miravânia - MG,3142254,MG,4861,19619471.450000003,2134972.97,856000,22610444.42
Prefeitura Municipal de Mirim Doce - SC,4210852,SC,2336,19114107.69,2101019.4,845000,22060127.09
Prefeitura Municipal de Mirinzal - MA,2106805,MA,14913,39430441.87,4203938.03,1000000,44634379.9
Prefeitura Municipal de Missal - PR,4116059,PR,10700,56590874.08,6246880,1926000,64763754.08
Prefeitura Municipal de Missão Velha - CE,2308401,CE,35662,158392674.86,14760665.14,2694900,175848240
Prefeitura Municipal de Mocajuba - PA,1504604,PA,30736,72892514,12312000,1520000,86724514
Prefeitura Municipal de Mococa - SP,3530508,SP,68788,173839579,21504838,3500000,198844417
Prefeitura Municipal de Modelo - SC,4210902,SC,4200,31713745.36,2766600,1036600,35516945.36
Prefeitura Municipal de Moeda - MG,3142304,MG,4904,15059916,2172484,880000,18112400
Prefeitura Municipal de Moema - MG,3142403,MG,7479,23108116.29,2056321.14,833415,25997852.43
Prefeitura Municipal de Mogeiro - PB,2509404,PB,13308,30813126.21,2978173.79,1108800,34900100
Prefeitura Municipal de Mogi das Cruzes - SP,3530607,SP,440769,1638998851.11,121290248.51,38360000,1798649099.62
Prefeitura Municipal de Mogi Guaçu - SP,3530706,SP,150713,496114389.42999995,35091271.47,0,531205660.9
Prefeitura Municipal de Mogi Mirim - SP,3530805,SP,92715,393276261.8,57692415.08,9859000,460827676.88
Prefeitura Municipal de Moiporá - GO,5213400,GO,1557,14474338.21,3831746.63,942250,19248334.84
Prefeitura Municipal de Moita Bonita - SE,2804102,SE,11322,25361299,3208701,1430000,30000000
Prefeitura Municipal de Moju - PA,1504703,PA,80988,187478919.48000002,36284837.2,5467182,229230938.68
Prefeitura Municipal de Mojuí dos Campos,1504752,PA,15982,53490300,8201610,1413090,63105000
Prefeitura Municipal de Mombaça - CE,2308500,CE,44060,83125013.83,5785432,2615400,91525845.83
Prefeitura Municipal de Mombuca - SP,3530904,SP,3478,16049500,3259500,910000,20219000
Prefeitura Municipal de Monção - MA,2106904,MA,33201,91020206.74,15012634.05,3217159.21,109249999.99999999
Prefeitura Municipal de Monções - SP,3531001,SP,2252,17379227.78,3647579.32,1101000,22127807.1
Prefeitura Municipal de Mondaí - SC,4211009,SC,11592,35322507.66,3280550,950000,39553057.66
Prefeitura Municipal de Mongaguá - SP,3531100,SP,55731,243009190.52999997,32136864.23,8011100,283157154.76
Prefeitura Municipal de Monjolos - MG,3142502,MG,2240,11850555.02,2383531.02,850000,15084086.04
Prefeitura Municipal de Monsenhor Gil - PI,2206407,PI,10565,22969027.03,4402975.78,807330.97,28179333.78
Prefeitura Municipal de Monsenhor Hipólito - PI,2206506,PI,7729,21778000,3100000,782000,25660000
Prefeitura Municipal de Monsenhor Paulo - MG,3142601,MG,8648,19181596.67,2763060.76,1133355,23078012.43
Prefeitura Municipal de Monsenhor Tabosa - CE,2308609,CE,17167,39347489.51,8557925.49,1827500,49732915
Prefeitura Municipal de Montadas - PB,2509503,PB,5598,21171534.02,1651200,780000,23602734.02
Prefeitura Municipal de Montalvânia - MG,3142700,MG,15012,30723465.890000004,4857365.88,1921631.25,37502463.02
Prefeitura Municipal de Montanha - ES,3203502,ES,18770,44647146.42999999,7608163.98,1740000,53995310.41
Prefeitura Municipal de Montanhas - RN,2407708,RN,11295,28557218,2257759,1281460,32096437
Prefeitura Municipal de Montauri - RS,4312351,RS,1466,18986605.78,2103200,360000,21449805.78
Prefeitura Municipal de Monte Alegre - PA,1504802,PA,57900,172286122.02,7541569.98,4000000,183827692
Prefeitura Municipal de Monte Alegre - RN,2407807,RN,22239,93330666,9622904,1890000,104843570
Prefeitura Municipal de Monte Alegre de Minas - MG,3142809,MG,20999,70143855.6,5969930,2417714.4,78531500
Prefeitura Municipal de Monte Alegre de Sergipe - SE,2804201,SE,15120,29417170.490000002,8997829.51,1485000,39900000
Prefeitura Municipal de Monte Alegre do Piauí - PI,2206605,PI,10611,24840677.64,5849114.93,1141050,31830842.57
Prefeitura Municipal de Monte Alegre do Sul - SP,3531209,SP,7964,27083527.11,4298054.8,1260000,32641581.91
Prefeitura Municipal de Monte Alegre dos Campos - RS,4312377,RS,3220,15393807.600000001,2786010,744000,18923817.6
Prefeitura Municipal de Monte Alto - SP,3531308,SP,50216,120085595.19999999,21622188.93,3900000,145607784.13
Prefeitura Municipal de Monte Aprazível - SP,3531407,SP,24794,64762477.14000001,6164379.9,3000000,73926857.04
Prefeitura Municipal de Monte Azul - MG,3142908,MG,21017,50321571.64,4222387.3,2055000,56598958.94
Prefeitura Municipal de Monte Azul Paulista - SP,3531506,SP,19050,70714922.86,7559000,1740000,80013922.86
Prefeitura Municipal de Monte Belo - MG,3143005,MG,13180,40993457.49,4200120,1020000,46213577.49
Prefeitura Municipal de Monte Belo do Sul - RS,4312385,RS,2564,18314226.94,2593500,585000,21492726.94
Prefeitura Municipal de Monte Carlo - SC,4211058,SC,9824,30032399.320000004,2663000,1263089.31,33958488.63
Prefeitura Municipal de Monte Carmelo - MG,3143104,MG,47682,135194122.26,20111877.74,4794000,160100000
Prefeitura Municipal de Monte Castelo - SC,4211108,SC,8280,28869042.88,3445293.71,998500,33312836.59
Prefeitura Municipal de Monte Castelo - SP,3531605,SP,4166,17471588.57,3713571.43,787530,21972690
Prefeitura Municipal de Monte das Gameleiras - RN,2407906,RN,2127,12500497.1,3199576.12,831593.45,16531666.669999998
Prefeitura Municipal de Monte do Carmo - TO,1713601,TO,7827,21262706.770000003,3091869.33,0,24354576.1
Prefeitura Municipal de Monte Formoso - MG,3143153,MG,4889,13975641.71,2783879.45,965000,17724521.16
